Species	Ne	logNe	t	midT	Mass.g
Panthera_tigris_altaica	34966.3245460427	4.54364998423197	44643.9932797486	53985.7597161332	162564
Panthera_tigris_altaica	34234.1403412035	4.53445942670431	63327.5261525178	75930.3550942216	162564
Panthera_tigris_altaica	28105.6428434058	4.44879352309813	88533.1840359253	105535.460684079	162564
Panthera_tigris_altaica	27826.1950473633	4.44445382498628	122537.737332232	145475.239107231	162564
Panthera_tigris_altaica	31034.1807250418	4.49184028488204	168412.740882229	199357.36074496	162564
Panthera_tigris_altaica	31242.8496599598	4.4947506390066	230301.98060769	272048.87649208	162564
Panthera_tigris_altaica	30193.8139852021	4.47991797516645	313795.77237647	370115.847520813	162564
Panthera_tigris_altaica	31859.4315271908	4.50323802235002	426435.922665155	502416.442822833	162564
Panthera_tigris_altaica	36816.8997222041	4.56604721463438	578396.962980512	680901.077696902	162564
Panthera_tigris_dnaZoo	1190.62808946325	3.07577612427233	2099.18339123504	3313.39224444924	162564
Panthera_tigris_dnaZoo	9218.28885148376	3.96465031244982	4527.60109766344	5932.24553738182	162564
Panthera_tigris_dnaZoo	9316.56472195663	3.96925580534529	7336.8899771002	8961.8377748443	162564
Panthera_tigris_dnaZoo	9643.66860007138	3.98424227764556	10586.7855725884	12466.5889382877	162564
Panthera_tigris_dnaZoo	11373.676639534	4.0559008768384	14346.3923039869	16521.0225897105	162564
Panthera_tigris_dnaZoo	15109.0876911888	4.17923824179474	18695.6528754341	21211.3505094935	162564
Panthera_tigris_dnaZoo	20027.6814137928	4.30163067433201	23727.0481435529	26637.3058676174	162564
Panthera_tigris_dnaZoo	24990.1016660191	4.39776802294923	29547.563591682	32914.2639080514	162564
Panthera_tigris_dnaZoo	28535.7426945642	4.45538918033525	36280.9642244208	40175.6952396559	162564
Panthera_tigris_dnaZoo	28733.3408200994	4.45838612426494	44070.4262548911	53788.2328904841	162564
Panthera_tigris_dnaZoo	24882.5510376496	4.39589490354208	63506.039526077	76511.1567673232	162564
Panthera_tigris_dnaZoo	24160.1041763813	4.3830988025952	89516.2740085694	106920.723469323	162564
Panthera_tigris_dnaZoo	26032.9862208455	4.41552398850297	124325.172930077	147617.147574584	162564
Panthera_tigris_dnaZoo	26186.1259037932	4.41807125164947	170909.12221909	202080.236482926	162564
Panthera_tigris_dnaZoo	24654.7943763171	4.39190138481876	233251.350746763	274966.936448653	162564
Panthera_tigris_dnaZoo	24376.3076570102	4.38696792254456	316682.522150544	372509.531596614	162564
Panthera_tigris_dnaZoo	26915.0625311572	4.42999539313944	428336.541042684	503048.544512178	162564
Panthera_tigris_dnaZoo	32919.0089120456	4.5174467514944	577760.547981672	677745.904851234	162564
Panthera_tigris_jacksoni	2485.19117884714	3.39535980342136	2531.90614542164	3997.03578374981	162564
Panthera_tigris_jacksoni	8958.18620443374	3.952220085427	5462.16542207799	7157.80873096549	162564
Panthera_tigris_jacksoni	10391.3827745626	4.01667334268753	8853.45203985299	10815.876494153	162564
Panthera_tigris_jacksoni	12710.7139478702	4.10416994511831	12778.300948453	15049.4801042634	162564
Panthera_tigris_jacksoni	14317.4024523386	4.15586423285012	17320.6592600738	19949.170511289	162564
Panthera_tigris_jacksoni	17650.3087427012	4.2467523065555	22577.6817625043	25619.7453443622	162564
Panthera_tigris_jacksoni	22794.0536500064	4.35782156613167	28661.8089262201	32182.490388697	162564
Panthera_tigris_jacksoni	28623.1391333875	4.45671726162318	35703.1718511739	39777.7737214802	162564
Panthera_tigris_jacksoni	33535.0361660122	4.52549877904378	43852.3755917866	48568.0479917043	162564
Panthera_tigris_jacksoni	36374.7778223616	4.56080034932545	53283.7203916219	65057.5926392512	162564
Panthera_tigris_jacksoni	31480.0654312224	4.49803562636775	76831.4648868806	92601.6289843848	162564
Panthera_tigris_jacksoni	28384.8783464733	4.45308703724142	108371.793081889	129494.671811295	162564
Panthera_tigris_jacksoni	30403.7801271145	4.48292758315764	150617.550540702	178909.9641807	162564
Panthera_tigris_jacksoni	31301.8169344725	4.49556954718586	207202.377820698	245097.812426509	162564
Panthera_tigris_jacksoni	29919.9470608936	4.47596082077056	282993.24703232	333751.16334997	162564
Panthera_tigris_jacksoni	29783.9785967863	4.47398271111992	384509.07966762	452495.265753331	162564
Panthera_tigris_jacksoni	33332.1471040485	4.52286328982035	520481.451839041	611543.53306308	162564
Panthera_tigris_jacksoni	40894.1903521277	4.61166161418762	702605.614287119	824576.019074931	162564
Panthera_uncia_dnaZoo	3123.82031074555	3.49468604431663	974.991938868108	1535.63401446532	44167
Panthera_uncia_dnaZoo	2975.02579798662	3.47349073607286	2096.27609006253	2741.03944532646	44167
Panthera_uncia_dnaZoo	2137.8675291862	3.32998079108518	3385.8028005904	4127.30937383212	44167
Panthera_uncia_dnaZoo	2610.02847125641	3.41664524482568	4868.81594707384	5721.58152947204	44167
Panthera_uncia_dnaZoo	3470.1344783847	3.540346305364	6574.34711187023	7555.06550974465	44167
Panthera_uncia_dnaZoo	3835.0619514323	3.58377238391678	8535.78390761906	9663.65374169993	44167
Panthera_uncia_dnaZoo	3613.86810158503	3.55797229769942	10791.5235757808	12088.624114923	44167
Panthera_uncia_dnaZoo	3316.09757345668	3.52062730082588	13385.7246540652	14877.4480407574	44167
Panthera_uncia_dnaZoo	3195.70742215078	3.50456701132973	16369.1714274495	18084.7197563986	44167
Panthera_uncia_dnaZoo	3702.05099197604	3.56844239642156	19800.2680853477	24042.2134598308	44167
Panthera_uncia_dnaZoo	5035.08969765614	3.70200721170197	28284.158834314	33894.5661073696	44167
Panthera_uncia_dnaZoo	6045.68798909782	3.78144572998873	39504.9733804251	46925.3116900361	44167
Panthera_uncia_dnaZoo	6473.13395792244	3.81111459459472	54345.6499996471	64159.807501816	44167
Panthera_uncia_dnaZoo	6572.37300761737	3.81772220335598	73973.9650039848	86954.1935944557	44167
Panthera_uncia_dnaZoo	6453.74131501258	3.80981155361295	99934.4221849266	117102.104099919	44167
Panthera_uncia_dnaZoo	6408.31560599694	3.80674389236577	134269.786014912	156975.803885101	44167
Panthera_uncia_dnaZoo	6893.1838794797	3.83841986369341	179681.821755289	209712.856234737	44167
Panthera_uncia_dnaZoo	8021.7362156586	3.90426837667237	239743.890714184	279463.009982994	44167
Panthera_uncia_dnaZoo	9529.25898036936	3.97905913009803	319182.129251804	371714.73303439	44167
Panthera_uncia_dnaZoo	11004.9971238541	4.04158993338692	424247.336816976	493727.086393024	44167
Panthera_uncia_dnaZoo	11478.6196648854	4.05988966611369	563206.835969072	655100.9218044	44167
Parahyaena_brunnea	2634.61942554864	3.42071788963541	2344.29156834392	3113.39086249297	32200.3
Parahyaena_brunnea	1679.93973450135	3.22529370229553	3882.49015664202	4806.96092047267	32200.3
Parahyaena_brunnea	1601.61528336618	3.20455820439719	5731.43168430333	6842.66166420235	32200.3
Parahyaena_brunnea	2381.58884079318	3.37686678670698	7953.89164410138	9289.60945859424	32200.3
Parahyaena_brunnea	3560.96339306445	3.55156750912165	10625.3272730871	12230.8833795878	32200.3
Parahyaena_brunnea	4788.93128363678	3.68023860539686	13836.4394860886	15766.345925272	32200.3
Parahyaena_brunnea	6352.40193851083	3.80293796960712	17696.2523644555	20016.0335598441	32200.3
Parahyaena_brunnea	8022.7088440462	3.90432103130027	22335.8147552327	25124.2322065758	32200.3
Parahyaena_brunnea	8935.32062743484	3.95111014097455	27912.6496579189	31264.3760614309	32200.3
Parahyaena_brunnea	8856.69811100536	3.94727184158883	34616.1024649429	38644.9360524636	32200.3
Parahyaena_brunnea	8357.10089880485	3.92205564561933	42673.7696399842	47516.4978707033	32200.3
Parahyaena_brunnea	8014.26454780637	3.90386367422798	52359.2261014224	58180.2698867123	32200.3
Parahyaena_brunnea	8129.7888405531	3.91007926557272	64001.3136720022	70998.3098146557	32200.3
Parahyaena_brunnea	8720.21754269023	3.94052731938342	77995.3059573091	86405.8173408569	32200.3
Parahyaena_brunnea	9552.42368777909	3.9801135768908	94816.3287244047	104925.91007769	32200.3
Parahyaena_brunnea	10330.7369602103	4.01413130374	115035.491430976	127187.384517838	32200.3
Parahyaena_brunnea	10881.437324834	4.03668626494081	139339.2776047	153946.065011038	32200.3
Parahyaena_brunnea	11220.6060612587	4.05001631520462	168552.852417376	186110.465606437	32200.3
Parahyaena_brunnea	11571.4821254381	4.06338898882858	203668.078795498	224772.636034617	32200.3
Parahyaena_brunnea	12284.9828053101	4.08937455295577	245877.193273736	271245.239115908	32200.3
Parahyaena_brunnea	13701.9393532174	4.13678204093688	296613.28495808	327106.118451773	32200.3
Parahyaena_brunnea	16060.982043643	4.20577209655262	357598.951945466	394251.869567065	32200.3
Parahyaena_brunnea	19360.7140951535	4.28692137166377	430904.787188664	474962.23335724	32200.3
Parahyaena_brunnea	23072.6003459157	4.36309654346957	519019.679525815	571977.498134862	32200.3
Parahyaena_brunnea	26168.3041475681	4.41777557884097	624935.316743909	688591.53823931	32200.3
Phacochoerus_africanus	244133.491219341	5.38762736177701	6792.61273251208	10678.3116479487	82500
Phacochoerus_africanus	160414.491803567	5.20524359977126	14564.0105633853	19009.6213043472	82500
Phacochoerus_africanus	219715.835022937	5.34186135785478	23455.2320453091	28541.4354002944	82500
Phacochoerus_africanus	141968.6447226	5.15219243644208	33627.6387552796	39446.7412533686	82500
Phacochoerus_africanus	45885.3371348138	4.6616739269579	45265.8437514576	51923.4528795071	82500
Phacochoerus_africanus	17408.6561602559	4.24076524758426	58581.0620075565	66198.0028186945	82500
Phacochoerus_africanus	12918.7405619479	4.1112201766887	73814.9436298325	82529.4515266597	82500
Phacochoerus_africanus	16633.3903924381	4.22098078070805	91243.9594234868	101214.188911527	82500
Phacochoerus_africanus	27330.0613884155	4.43664060720017	111184.418399568	122591.313340863	82500
Phacochoerus_africanus	58204.5806020464	4.76495716423601	133998.208282158	161979.89300829	82500
Phacochoerus_africanus	94925.0815125245	4.9773809787423	189961.577734422	226588.331847253	82500
Phacochoerus_africanus	88441.9078291866	4.94665810241359	263215.085960085	311157.843159009	82500
Phacochoerus_africanus	68819.3293430853	4.83771043602661	359100.600357934	421855.491516303	82500
Phacochoerus_africanus	60595.6221048499	4.78244124851634	484610.382674672	566753.684278253	82500
Phacochoerus_africanus	65093.4442482261	4.81353725169897	648896.985881833	756418.835952597	82500
Pongo_abelii	10460.1807769833	4.0195391902452	43105.4572367586	67604.0520026463	56750
Pongo_abelii	41438.7112513082	4.6174062403388	92102.6467685341	119949.754024892	56750
Pongo_abelii	50662.1386127949	4.70468351881679	147796.861281249	179450.161805524	56750
Pongo_abelii	55727.1381993812	4.74606674095447	211103.4623298	247083.193540529	56750
