Species	midT	logNe	medPred	meanPred	hpdi025	hpdi975	hpdi25	hpdi75	seMean	seMedian	se025	se975	Model
Tremarctos_ornatus_dnaZoo	117552.889136259	4.06692630496745	3.81007615470883	3.80621806556606	3.12085323197092	4.51552686367862	3.57430433812232	4.05864726222571	0.197329616281597	0.0942134602281911	3.67919066683764e-11	0.728983612909159	Climate-only
Tremarctos_ornatus_dnaZoo	117552.889136259	4.06692630496745	4.10919078968144	4.1039384129235	3.59328336774478	4.62361100539066	3.93461410685025	4.27690162187979	0.0717396762525448	0.0316942516999844	5.52060643571118e-09	0.284453015608365	Combined
Bubalus_bubalis	117590.791520236	5.31650949509073	5.05502258327042	5.05036132408212	4.62354191925313	5.53381799376407	4.92490355780873	5.21824045425006	0.122690492357541	0.0700659905148842	1.40343945179435e-09	0.417466540469559	Human-only
Bubalus_bubalis	117590.791520236	5.31650949509073	4.46136569426118	4.45857707516082	3.78242894348823	5.1463562543051	4.23747507550555	4.71288128782238	0.859215759287911	0.731270923513357	4.15624379453638e-07	2.04430482918473	Climate-only
Bubalus_bubalis	117590.791520236	5.31650949509073	5.30314424657351	5.30395076093252	4.78294217437819	5.86632177366294	5.09191641364121	5.44331382461025	0.072276266129654	0.0347789366798304	6.8974779545164e-08	0.302293541668768	Combined
Ursus_thibetanus_thibetanus	117637.645247662	4.89327105320903	4.93762296570341	4.93962061387596	4.52016705513836	5.39596518933176	4.76490308024923	5.08260311559754	0.0554747305609283	0.0255142021497536	3.30942491182019e-10	0.21209494742589	Human-only
Ursus_thibetanus_thibetanus	117637.645247662	4.89327105320903	4.5483040493493	4.54852214965328	3.87690746340318	5.24972659156348	4.2753174168929	4.76128085586155	0.243716286855498	0.131699161552094	2.85174527560298e-08	0.858967640656085	Climate-only
Ursus_thibetanus_thibetanus	117637.645247662	4.89327105320903	4.78570135372307	4.78053555035742	4.20732843532578	5.25122517987902	4.60543798636329	4.95543071409169	0.0824828951820434	0.0342807372016529	2.81758442501942e-08	0.320346969916228	Combined
Diceros_bicornis_minor	117681.483121382	3.97580415174637	3.9874362055148	3.97699940564063	3.50279841374468	4.37343026121675	3.85047559822832	4.14101702922549	0.0507959905295086	0.0220813684680301	8.24362691487037e-08	0.195059206783342	Human-only
Diceros_bicornis_minor	117681.483121382	3.97580415174637	3.52926574543967	3.53521356794202	2.84621566524892	4.22996204256909	3.25515185993836	3.72649851764588	0.319178378502721	0.202907857636392	2.20020827853756e-09	1.03316120148404	Climate-only
Diceros_bicornis_minor	117681.483121382	3.97580415174637	3.89187896369238	3.89063070434727	3.41699749784839	4.486585370971	3.69725582671228	4.07528490826173	0.0839845548709537	0.0389876028782107	1.54684072259831e-08	0.293475316141729	Combined
Vicugna_vicugna_vicugna	117899.347075967	5.52494010211645	5.26443947289661	5.25974875809999	4.8288063200015	5.72905966642577	5.10378113391476	5.40579596212145	0.123969511037393	0.0704143675260941	1.91030525384111e-09	0.407131881452058	Human-only
Vicugna_vicugna_vicugna	117899.347075967	5.52494010211645	4.75756095843844	4.75901321968723	4.0837588681025	5.44913175800566	4.48934506441444	4.96780917826541	0.709825618768867	0.588870750223904	1.59432108730985e-07	1.77988877774654	Climate-only
Vicugna_vicugna_vicugna	117899.347075967	5.52494010211645	5.53191303955317	5.52954564582846	5.03324523537375	6.09852628147308	5.31731912382045	5.68286207520331	0.0738559576784948	0.0346749741144984	5.17828230616675e-09	0.288535097675191	Combined
Ovis_nivicola_lydekkeri	117940.16386802	3.93825664837107	4.35429828397653	4.35346133367855	3.93318447120911	4.84430350295268	4.219145050694	4.54140974709012	0.22765171574932	0.173090704484602	1.96536982016272e-07	0.639707448381444	Human-only
Ovis_nivicola_lydekkeri	117940.16386802	3.93825664837107	3.91601333830051	3.9111578864738	3.1751151817276	4.62815491070391	3.66052936837225	4.15242108530994	0.137332035789883	0.0610591057918099	4.2804691775306e-11	0.529914530331337	Climate-only
Ovis_nivicola_lydekkeri	117940.16386802	3.93825664837107	3.86593635002657	3.85955154848913	3.25675740687028	4.32757968226523	3.72929432069787	4.07883900678632	0.0790322471900314	0.033327331003664	2.33726419903155e-10	0.315301701286346	Combined
Nanger_granti	118037.441328957	4.57394337152747	4.54783973889685	4.54992198652062	4.12295355748632	5.02481391050394	4.4384646224648	4.73897705722225	0.0529333874162386	0.023483195742213	1.41431339658323e-07	0.203391812368867	Human-only
Nanger_granti	118037.441328957	4.57394337152747	4.34745678236572	4.34074129629525	3.68751649280408	5.04805329654782	4.10112233303965	4.57023244535395	0.176118311897254	0.0819186300627424	1.01362510114174e-07	0.658835685041593	Climate-only
Nanger_granti	118037.441328957	4.57394337152747	4.51495060593193	4.50796063573689	4.02107732367713	5.02946947728993	4.32813793202838	4.66528487480721	0.0723457318058518	0.0304530305776672	8.42918230463941e-08	0.284803679813367	Combined
Ovis_aries	118098.794501924	5.17517832021372	5.09198197969745	5.08085405963103	4.5486873752537	5.54208529874967	4.93789736762556	5.25143107235514	0.070478700413767	0.0305229539257331	3.87035269809194e-09	0.289399344361847	Human-only
Ovis_aries	118098.794501924	5.17517832021372	4.70558610637269	4.70592535083843	3.99128138764442	5.35920390628857	4.45160169102909	4.92486806206644	0.343396542335528	0.224191126487185	1.87624569763518e-10	1.10250932464925	Climate-only
Ovis_aries	118098.794501924	5.17517832021372	5.0739120007445	5.07361773957934	4.56715184767618	5.60739745071213	4.90453892118138	5.24984703884504	0.0825016255497437	0.0378184634587506	3.8383289821067e-07	0.321936732012399	Combined
Elephas_maximus	118153.548027791	3.33113740049336	3.57066852796732	3.57882860093126	3.15823864199171	4.01831808735823	3.41445296417669	3.71669091417413	0.113301082110827	0.062109273466193	2.39663254961575e-07	0.386909969120334	Human-only
Elephas_maximus	118153.548027791	3.33113740049336	3.32866957354105	3.32493599550078	2.63764502231288	4.02301820543785	3.09553012845865	3.57892377231563	0.127498337677997	0.0588878507540253	2.88275623591645e-09	0.480444052533761	Climate-only
