midT	logNe	nType
37500	4.73543735805139	Observed
62500	4.97739673175376	Observed
87500	4.91331817234791	Observed
12500	4.20789707806062	Observed
37500	4.17811777381973	Observed
62500	4.80667918726436	Observed
87500	5.01780772696844	Observed
12500	3.50084826245402	Observed
37500	4.43721792597977	Observed
62500	4.75708467736157	Observed
87500	4.62363410739738	Observed
12500	3.87170293134738	Observed
37500	4.89836039888711	Observed
62500	5.19273663052928	Observed
87500	5.27796232160634	Observed
12500	4.13061775347017	Observed
37500	4.55405550321129	Observed
62500	4.60506235522565	Observed
87500	4.7747509167649	Observed
12500	3.54576193781193	Observed
37500	4.37928949941608	Observed
62500	4.58275498733634	Observed
87500	4.86034382511744	Observed
12500	4.29655795989966	Observed
37500	4.61209550021245	Observed
62500	4.7389463048493	Observed
87500	4.62076930998621	Observed
12500	3.95119272637674	Observed
37500	3.7198193776015	Observed
62500	3.56120241669587	Observed
87500	3.58003506344509	Observed
12500	3.63566433575565	Observed
37500	3.63566433575565	Observed
62500	3.91918443945583	Observed
87500	3.93941950786524	Observed
12500	3.58372046127463	Observed
37500	3.99920777333928	Observed
62500	4.68980810357872	Observed
87500	5.01923598983384	Observed
12500	4.02278093810857	Observed
37500	3.84052450539699	Observed
62500	4.35100758661061	Observed
87500	4.80628359144746	Observed
12500	3.27288580868165	Observed
37500	4.70442538631988	Observed
62500	4.58656412110142	Observed
87500	4.87096554892021	Observed
12500	4.75546848258075	Observed
37500	4.55418520838273	Observed
62500	4.70379641397414	Observed
87500	4.83331652760755	Observed
12500	4.24104412985217	Observed
37500	4.24655414644588	Observed
62500	4.4013567340205	Observed
87500	4.54997007743973	Observed
12500	4.22425111397752	Observed
37500	4.43602650230614	Observed
62500	4.53807434929768	Observed
87500	4.59142885493485	Observed
12500	3.34750334450887	Observed
37500	4.45894193758305	Observed
62500	4.70404254041867	Observed
87500	4.76117842070107	Observed
12500	4.2982276513368	Observed
37500	5.06386700222159	Observed
62500	5.35085254171532	Observed
87500	5.44559239258637	Observed
12500	4.73466070484073	Observed
37500	4.89465504873832	Observed
62500	5.07009409800147	Observed
87500	5.38552277016587	Observed
12500	3.98051109993963	Observed
37500	4.29854575237079	Observed
62500	4.71402407914595	Observed
87500	4.825878726065	Observed
12500	3.34860595085175	Observed
37500	4.17772400888805	Observed
62500	4.40840637024522	Observed
87500	4.32542153148995	Observed
12500	4.05730069660465	Observed
37500	4.34450823727556	Observed
62500	4.49683334329795	Observed
87500	4.46019039716799	Observed
12500	4.12117038021605	Observed
37500	4.29620725471531	Observed
62500	4.32862203434853	Observed
87500	4.44809080198739	Observed
12500	3.97950408186079	Observed
37500	4.72392810086008	Observed
62500	4.83764544156579	Observed
87500	4.90587527800552	Observed
12500	2.84929637603408	Observed
37500	3.7255519762739	Observed
62500	4.21164764877891	Observed
87500	4.26932259619014	Observed
12500	4.04343639499691	Observed
37500	4.71523736874233	Observed
62500	4.74848253948082	Observed
87500	4.63009964472626	Observed
12500	4.13336851685659	Observed
37500	4.94382189082094	Observed
62500	4.9850416838289	Observed
87500	5.11932735459304	Observed
12500	3.52892323779851	Observed
37500	4.89139799261537	Observed
62500	4.97842341003495	Observed
87500	5.1499147023416	Observed
12500	3.62268045675448	Observed
37500	5.03467207857933	Observed
62500	4.98386224137109	Observed
87500	4.68418856910061	Observed
12500	4.02417787294319	Observed
37500	4.50830944398938	Observed
62500	4.56848728445739	Observed
87500	4.39981960717432	Observed
12500	4.0305938702192	Observed
37500	4.07290008807515	Observed
62500	4.09253486749647	Observed
87500	3.99302386642079	Observed
12500	4.35733318849064	Observed
37500	5.22622732882319	Observed
62500	5.39745736674628	Observed
87500	5.36578643727507	Observed
12500	4.61257137442803	Observed
37500	4.85174724126418	Observed
62500	5.18125718321158	Observed
87500	5.29485238171047	Observed
12500	2.96707303618036	Observed
37500	4.24882426618679	Observed
62500	4.16684976939699	Observed
87500	4.34497299099963	Observed
12500	3.60869688770103	Observed
37500	3.98690518067719	Observed
62500	4.10802667285008	Observed
87500	4.29262465674656	Observed
12500	4.22692944966197	Observed
37500	4.13391927253602	Observed
62500	4.29048889953862	Observed
87500	4.45799057368068	Observed
12500	4.21148144822369	Observed
37500	4.28159425025917	Observed
62500	4.34804233058366	Observed
87500	4.50214116935372	Observed
12500	3.7382380483014	Observed
37500	3.73230597999158	Observed
62500	3.96955623172384	Observed
87500	4.40462011619556	Observed
12500	4.01199214690773	Observed
37500	4.35889333617591	Observed
